#,,,,,,,,,"generated_by='OpenQuake engine 3.11.4', start_date='2022-05-08T14:37:27', checksum=3467869817, investigation_time=1.0, ses_per_logic_tree_path=10000"
rup_id,multiplicity,mag,centroid_lon,centroid_lat,centroid_depth,trt,strike,dip,rake
139,1,5.450000E+00,1.849581E+01,-3.262627E+01,5.000000E+00,Stable Continental Crust,3.049852E+02,7.800420E+01,-1.200000E+00
140,1,5.250000E+00,1.721494E+01,-3.267125E+01,5.000000E+00,Stable Continental Crust,3.049836E+02,7.800137E+01,-1.200000E+00
141,1,5.350000E+00,1.726835E+01,-3.267125E+01,1.000000E+01,Stable Continental Crust,3.049922E+02,7.800019E+01,-1.200000E+00
142,1,5.650000E+00,1.806962E+01,-3.267125E+01,5.000000E+00,Stable Continental Crust,3.049885E+02,7.800038E+01,-1.200000E+00
143,1,5.250000E+00,1.881721E+01,-3.267155E+01,1.480278E+01,Stable Continental Crust,3.049877E+02,7.800024E+01,-1.200000E+00
144,1,5.650000E+00,1.956532E+01,-3.267125E+01,1.000000E+01,Stable Continental Crust,3.049885E+02,7.800114E+01,-1.200000E+00
145,1,5.450000E+00,1.967215E+01,-3.267125E+01,1.000000E+01,Stable Continental Crust,3.049877E+02,7.799796E+01,-1.200000E+00
146,1,5.150000E+00,1.972557E+01,-3.267125E+01,5.000000E+00,Stable Continental Crust,3.049881E+02,7.800439E+01,-1.200000E+00
147,1,5.450000E+00,1.753612E+01,-3.271621E+01,1.000000E+01,Stable Continental Crust,3.049954E+02,7.799803E+01,-1.200000E+00
148,1,5.050000E+00,1.994113E+01,-3.271621E+01,1.500000E+01,Stable Continental Crust,3.049859E+02,7.800418E+01,-1.200000E+00
149,1,5.250000E+00,1.705529E+01,-3.276148E+01,1.480278E+01,Stable Continental Crust,3.049828E+02,7.800182E+01,-1.200000E+00
150,1,5.050000E+00,1.732290E+01,-3.276118E+01,1.000000E+01,Stable Continental Crust,3.049953E+02,7.799994E+01,-1.200000E+00
151,1,6.150000E+00,1.807151E+01,-3.276118E+01,1.000000E+01,Stable Continental Crust,3.049765E+02,7.800088E+01,-1.200000E+00
152,1,5.150000E+00,1.823192E+01,-3.276118E+01,1.000000E+01,Stable Continental Crust,3.049950E+02,7.799889E+01,-1.200000E+00
153,1,5.050000E+00,1.833887E+01,-3.276118E+01,1.500000E+01,Stable Continental Crust,3.049939E+02,7.800134E+01,-1.200000E+00
154,1,5.450000E+00,1.833886E+01,-3.276118E+01,1.000000E+01,Stable Continental Crust,3.049844E+02,7.800034E+01,-1.200000E+00
155,1,5.850000E+00,1.871317E+01,-3.276118E+01,5.000000E+00,Stable Continental Crust,3.049821E+02,7.800003E+01,-1.200000E+00
156,1,5.450000E+00,1.887358E+01,-3.276118E+01,1.000000E+01,Stable Continental Crust,3.049834E+02,7.800127E+01,-1.200000E+00
157,1,5.450000E+00,1.967474E+01,-3.276228E+01,1.429682E+01,Stable Continental Crust,3.049909E+02,7.799816E+01,-1.200000E+00
158,1,6.650000E+00,1.967403E+01,-3.276313E+01,8.750000E+00,Stable Continental Crust,3.049541E+02,7.800019E+01,-1.200000E+00
159,1,5.950000E+00,1.748397E+01,-3.280614E+01,1.000000E+01,Stable Continental Crust,3.049802E+02,7.799986E+01,-1.200000E+00
160,1,5.150000E+00,1.850044E+01,-3.280614E+01,1.000000E+01,Stable Continental Crust,3.049909E+02,7.800387E+01,-1.200000E+00
161,1,5.250000E+00,1.850019E+01,-3.280645E+01,1.480278E+01,Stable Continental Crust,3.049935E+02,7.800147E+01,-1.200000E+00
162,1,5.050000E+00,1.866094E+01,-3.280614E+01,5.000000E+00,Stable Continental Crust,3.049921E+02,7.800047E+01,-1.200000E+00
163,1,5.750000E+00,1.866094E+01,-3.280614E+01,1.000000E+01,Stable Continental Crust,3.049841E+02,7.800068E+01,-1.200000E+00
164,1,5.950000E+00,1.892843E+01,-3.280614E+01,1.000000E+01,Stable Continental Crust,3.049802E+02,7.799986E+01,-1.200000E+00
165,1,5.050000E+00,1.983791E+01,-3.280614E+01,1.500000E+01,Stable Continental Crust,3.049921E+02,7.799906E+01,-1.200000E+00
166,1,5.550000E+00,1.694936E+01,-3.285111E+01,5.000000E+00,Stable Continental Crust,3.049895E+02,7.799681E+01,-1.200000E+00
167,1,5.350000E+00,1.700289E+01,-3.285111E+01,1.000000E+01,Stable Continental Crust,3.049875E+02,7.800072E+01,-1.200000E+00
168,1,5.050000E+00,1.721699E+01,-3.285111E+01,1.000000E+01,Stable Continental Crust,3.049928E+02,7.800437E+01,-1.200000E+00
169,1,5.450000E+00,1.748462E+01,-3.285111E+01,5.000000E+00,Stable Continental Crust,3.049896E+02,7.800143E+01,-1.200000E+00
170,1,5.250000E+00,1.850161E+01,-3.285111E+01,5.000000E+00,Stable Continental Crust,3.049922E+02,7.799724E+01,-1.200000E+00
171,1,5.250000E+00,1.925097E+01,-3.285111E+01,1.000000E+01,Stable Continental Crust,3.049910E+02,7.799610E+01,-1.200000E+00
172,1,5.050000E+00,1.834212E+01,-3.289608E+01,1.000000E+01,Stable Continental Crust,3.049921E+02,7.799537E+01,-1.200000E+00
173,1,5.950000E+00,1.887433E+01,-3.290005E+01,1.246190E+01,Stable Continental Crust,3.049814E+02,7.799950E+01,-1.200000E+00
174,1,5.350000E+00,1.898418E+01,-3.289676E+01,1.456289E+01,Stable Continental Crust,3.049859E+02,7.799962E+01,-1.200000E+00
175,1,5.150000E+00,1.930607E+01,-3.289607E+01,5.000000E+00,Stable Continental Crust,3.049888E+02,7.800395E+01,-1.200000E+00
176,1,5.250000E+00,1.978804E+01,-3.289608E+01,1.000000E+01,Stable Continental Crust,3.049907E+02,7.799964E+01,-1.200000E+00
177,1,6.150000E+00,1.839210E+01,-3.294665E+01,1.141691E+01,Stable Continental Crust,3.049750E+02,7.800127E+01,-1.200000E+00
178,1,5.050000E+00,1.973629E+01,-3.294104E+01,1.500000E+01,Stable Continental Crust,3.049915E+02,7.799928E+01,-1.200000E+00
179,1,5.350000E+00,1.678911E+01,-3.298669E+01,1.456289E+01,Stable Continental Crust,3.049921E+02,7.799343E+01,-1.200000E+00
180,1,5.650000E+00,1.764567E+01,-3.298808E+01,1.367437E+01,Stable Continental Crust,3.049842E+02,7.799792E+01,-1.200000E+00
181,1,6.750000E+00,1.957563E+01,-3.298796E+01,8.750000E+00,Stable Continental Crust,3.049410E+02,7.800034E+01,-1.200000E+00
182,1,7.550000E+00,1.999795E+01,-3.299579E+01,8.750000E+00,Stable Continental Crust,3.046663E+02,7.799965E+01,-1.200000E+00
183,1,6.850000E+00,1.748560E+01,-3.303293E+01,8.750000E+00,Stable Continental Crust,3.049266E+02,7.800073E+01,-1.200000E+00
184,1,5.150000E+00,1.791631E+01,-3.303097E+01,1.000000E+01,Stable Continental Crust,3.049920E+02,7.799918E+01,-1.200000E+00
